gene,ES2,JHOC5,MOLM13,MV411,TOV21G
ACTRT2,1.2018212612632175,1.2395115276872493,0.5821845971257564,0.47650799359705664,2.116651942895238
ACTRT3,1.2393896373012443,1.8095993022716645,0.5810997350524112,0.2970749890507907,2.5132850972758884
ACVR1,1.1864843177660487,1.1612276803983324,1.1462219820379627,0.5248287902404726,2.470130853637017
ACVR1B,1.1334822367525188,2.2920391369828903,1.064822311068821,0.4290745212358389,3.406864848170483
ACVR1C,0.962228109029277,0.3519373470152965,0.7669452041895658,0.3198148023566305,2.137320155013589
ACVR2A,0.4057653169189866,0.4092676243674767,0.6693757015665156,0.34932164868688087,1.958851998987665
ACVR2B,1.0770574164417894,0.350923363994958,0.9023438776099534,0.31730232388199464,1.7725737070083927
ACVRL1,0.7302397907591542,1.6266548437142314,0.5726748706008226,0.4256335083036596,2.5241816085845166
ACY1,0.5790431028573899,0.7273509434983447,0.5702133067202021,0.3800707488938991,1.596773538246365
ACY3,1.1299422185613597,0.9638233247287628,0.9168469947474877,0.3901413017375412,1.9559560661515571
ACYP1,0.843767454965475,1.7195831703943811,0.7428952741818347,0.43681369141335624,2.167496243385044
ACYP2,1.28410778148602,0.9288946885279359,0.5131829170638691,0.1858646576123694,1.707645581068943
ADA,1.300380752561344,0.936091918562393,1.126927971781979,0.379039121282927,1.8287776420710495
ADA2,0.5672275088800275,0.7211336841768106,0.42132868819374647,0.3165643114789154,1.1398932141756846
ADAD1,0.5222046708102422,0.5729014266000285,0.5256002774241841,0.4255668262935981,1.5447826636334911
ADAD2,0.7447561564902999,1.51160347739215,0.798263476588538,0.6380235259934188,2.496940816164879
ADAM10,0.6860394218360929,0.388907803028105,0.8851758686005481,0.33791574360454407,3.007969682666302
ADAM11,0.9910534893408256,0.6786683661372978,0.5984124340953823,0.35230258762668565,3.3630478612239076
ADAM12,0.3013504265541675,0.5905637424324851,0.8753597067141496,0.3373774363684272,3.2507368957874103
ADAM15,0.9217811706495365,0.6896115385644775,1.1356957018055311,0.6255271781970831,1.893487736561506
ADAM17,3.6581474807948107,2.2286417947015775,1.6670657926445438,1.0383937230960296,2.677739872192845
ADAM18,0.6747004325652488,1.109665400965296,1.0179710504209116,0.23167281232708603,1.5128165495797896
ADAM19,0.5466104311587374,0.3744288771400365,2.0446441408240714,0.5722224564911321,4.0814969224134785
ADAM2,1.1532263282895028,1.561394864135406,0.9195639223001909,0.4651406656052641,2.3207577954343512
ADAM20,0.6343249204249525,0.7339568879166718,0.519583761181074,0.41915470021695134,2.4014536005243183
ADAM21,0.7478644791317243,0.5153741173126313,0.8917721869153132,0.6747282986446133,2.403204559952857
ADAM22,0.7896344494846677,0.9373810070672733,0.5528754919823824,0.1893877941247757,2.7458167717416937
ADAM23,0.8820142058555562,0.72487087102248,1.4423127392865789,0.414442735600282,2.814343543676571
ADAM28,0.7012402088113702,0.9772837441740814,0.5537972264293701,0.43148995640836657,3.615215119032328
ADAM29,0.5582318341020145,1.0685932641764626,0.49797880659872296,0.47597250157235815,1.6598554121777358
ADAM30,0.842431260005989,2.3401445187541645,0.7736782178625142,0.6359675284870464,2.589819673005519
ADAM32,0.48234116567979246,0.6978148664274111,0.6687248058769393,0.43407879130789273,1.497450742333517
ADAM33,0.7394738370406554,2.644798127027407,0.7307097905519951,0.36167061352563584,2.120473330426479
ADAM7,0.9324997206621506,1.1356200731481756,0.9905438500861444,0.6065264852646154,1.3584931547836268
ADAM8,1.2270817796086806,1.249277942045018,0.8314026129129322,0.6348902801474449,2.651307405975725
ADAM9,0.6120966533205554,0.8433738965667464,0.5383614518302696,0.19817814233962455,3.249245803263347
ADAMDEC1,1.3927925810626982,1.1430689711245032,1.4404313031676121,0.5725874682342342,4.486210493747668
ADAMTS1,0.6877653446843403,0.6547048632369147,1.8343886205013524,0.6102316115245568,1.593421848953976
ADAMTS10,0.48310344972989294,1.3764131215073174,1.1158813009474255,0.4296048967842193,2.5468223289744927
ADAMTS12,1.3893159888891131,1.1030189402905342,0.9632521061089969,0.27688158537019336,2.080771460161796
ADAMTS13,0.6165909311419125,0.6881606365942426,0.9370859093143651,0.9871489827331822,1.6013057031652984
ADAMTS14,0.6162365297525623,0.6274330783083769,0.77656646073074,0.4009361899935871,1.874541677144706
ADAMTS15,1.008974293035583,2.5962714149087467,0.8163935951751441,0.47306561022032706,3.7418653848664043
ADAMTS16,0.5480056255910555,0.3670196363337547,0.9024683197552066,0.4301420495729298,0.9435536125610826
ADAMTS17,0.4539368065332117,2.4952402758046883,0.7304969172228267,0.3769067744906599,1.873477647309911
ADAMTS18,0.7716090629583165,3.405813520770774,0.7922083836023851,0.4605499613920308,1.6829533093519777
ADAMTS19,0.6552036657252156,0.5628242219771686,0.4966693471520193,0.3972428546702963,1.7088690718711892
ADAMTS2,0.6427321246921408,1.3961339033177602,1.231810221461482,0.3502597763348788,2.056116186047665
ADAMTS20,0.36153847294197,0.3402805012308722,1.3964893917528167,0.5786057956297304,1.300068248252167
ADAMTS3,1.0910106885768525,1.996377878960432,0.757384834915597,0.10657869681230105,4.080197596189632
